Song Name,Artists,Released Dates,Popularity,Duration,Album Type,Cover Image,genre,mood,user_id,user_rating
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3,Romantic,Energetic,user_99,1
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,Romantic,Energetic,user_700,5
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,Romantic,Calm,user_993,2
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Romantic,Energetic,user_116,4
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Romantic,Calm,user_191,4
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Folk,Sad,user_253,1
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,EDM,Energetic,user_981,4
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,Folk,Happy,user_928,1
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,Folk,Calm,user_983,5
"She Don’T Know-Akh Lad Jaave (From ""T-Series Mixtape Punjabi Season 2"")",Dhvani Bhanushali,2019-11-28,33,215360,single,https://i.scdn.co/image/ab67616d0000b273c15e263457dcfac5d896f356,Folk,Energetic,user_161,2
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Folk,Sad,user_256,5
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414,Folk,Sad,user_323,3
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,Romantic,Happy,user_128,3
"Dil Taan Pagal-Je Tu Na (From ""T-Series Mixtape Punjabi"")",Akhil Sachdeva,2019-09-03,33,291503,compilation,https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664,Romantic,Sad,user_18,3
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,EDM,Sad,user_793,5
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,Folk,Energetic,user_735,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,EDM,Calm,user_566,2
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Romantic,Romantic,user_570,3
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Romantic,Sad,user_323,3
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,Romantic,Sad,user_872,3
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Romantic,user_686,2
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_792,3
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c,Romantic,Energetic,user_626,2
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Energetic,user_288,3
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,EDM,Romantic,user_943,5
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,Romantic,Sad,user_854,5
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Sad,user_663,2
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Romantic,Calm,user_962,5
Chosen,Sidhu Moose Wala,2019-12-20,26,264019,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Sad,user_639,2
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,Romantic,Energetic,user_155,5
Zindagi,Amrinder Gill,2016-03-07,45,170666,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,EDM,Happy,user_490,5
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Folk,Happy,user_386,2
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,Romantic,Happy,user_986,4
Love,Garry Sandhu,2017-11-21,22,225241,single,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce,Romantic,Happy,user_785,5
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,EDM,Sad,user_104,3
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,Romantic,Sad,user_929,4
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,Romantic,Calm,user_393,2
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,Romantic,Sad,user_811,4
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,Folk,Happy,user_246,1
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,Folk,Romantic,user_176,1
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,EDM,Romantic,user_39,5
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,Folk,Energetic,user_477,5
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,EDM,Energetic,user_682,3
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,Folk,Sad,user_759,4
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,EDM,Romantic,user_538,1
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,Folk,Happy,user_867,5
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee,Folk,Happy,user_818,4
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,EDM,Happy,user_921,5
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,Romantic,Sad,user_408,5
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3,Romantic,Sad,user_525,1
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,Folk,Calm,user_828,1
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,EDM,Happy,user_506,5
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Romantic,Happy,user_903,2
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,EDM,Sad,user_825,5
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Romantic,Sad,user_36,5
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,EDM,Calm,user_685,3
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,Folk,Calm,user_20,3
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,EDM,Energetic,user_321,3
"She Don’T Know-Akh Lad Jaave (From ""T-Series Mixtape Punjabi Season 2"")",Dhvani Bhanushali,2019-11-28,33,215360,single,https://i.scdn.co/image/ab67616d0000b273c15e263457dcfac5d896f356,Romantic,Romantic,user_776,2
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Folk,Happy,user_512,2
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414,EDM,Happy,user_400,5
Tera Love Letter Sajna,Lovely Nirman,2000-06-30,31,313096,album,https://i.scdn.co/image/ab67616d0000b27303f35f17fafef1c88aed368a,Romantic,Calm,user_654,3
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,Folk,Calm,user_972,2
"Dil Taan Pagal-Je Tu Na (From ""T-Series Mixtape Punjabi"")",Akhil Sachdeva,2019-09-03,33,291503,compilation,https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664,EDM,Energetic,user_883,1
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,Romantic,Romantic,user_471,5
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,EDM,Energetic,user_143,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,EDM,Romantic,user_92,5
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Folk,Happy,user_354,4
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Folk,Energetic,user_834,3
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,Romantic,Calm,user_800,4
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Energetic,user_727,3
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Energetic,user_959,1
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c,EDM,Happy,user_854,4
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Calm,user_51,5
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,Romantic,Calm,user_665,3
Punjabi Valentine Mashup 2022,Sukh-E Muzical Doctorz,2022-02-14,36,290986,single,https://i.scdn.co/image/ab67616d0000b273bea487790d872591411addfb,EDM,Sad,user_698,5
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_575,2
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,EDM,Sad,user_190,3
Chosen,Sidhu Moose Wala,2019-12-20,26,264019,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Happy,user_125,4
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,Romantic,Energetic,user_150,3
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Romantic,Calm,user_314,5
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,EDM,Calm,user_570,1
Love,Garry Sandhu,2017-11-21,22,225241,single,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce,EDM,Energetic,user_342,3
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,Folk,Calm,user_305,4
Jattiye Ni,Jordan Sandhu,2019-12-20,23,181812,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Energetic,user_692,2
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,EDM,Happy,user_682,1
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,EDM,Happy,user_838,2
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,Romantic,Happy,user_783,3
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,Romantic,Energetic,user_54,5
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,Romantic,Energetic,user_444,5
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,EDM,Romantic,user_613,4
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,EDM,Calm,user_993,5
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,EDM,Calm,user_264,1
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,Romantic,Romantic,user_53,5
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,EDM,Romantic,user_572,4
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,Folk,Happy,user_620,3
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee,EDM,Romantic,user_5,3
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,EDM,Energetic,user_103,5
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,EDM,Sad,user_196,2
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3,EDM,Energetic,user_774,3
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,EDM,Romantic,user_877,5
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,Folk,Calm,user_992,4
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,Folk,Energetic,user_884,5
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,EDM,Calm,user_350,3
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Romantic,Energetic,user_47,4
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,EDM,Calm,user_867,5
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,EDM,Energetic,user_823,1
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,EDM,Calm,user_936,4
"She Don’T Know-Akh Lad Jaave (From ""T-Series Mixtape Punjabi Season 2"")",Dhvani Bhanushali,2019-11-28,33,215360,single,https://i.scdn.co/image/ab67616d0000b273c15e263457dcfac5d896f356,Romantic,Sad,user_820,1
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Romantic,Happy,user_656,2
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414,Romantic,Energetic,user_269,4
Tera Love Letter Sajna,Lovely Nirman,2000-06-30,31,313096,album,https://i.scdn.co/image/ab67616d0000b27303f35f17fafef1c88aed368a,Folk,Sad,user_370,1
Kasam,Hashmat Sultana,2022-06-29,36,230522,compilation,https://i.scdn.co/image/ab67616d0000b2733a8be0cae8dd8c150c626d2d,Romantic,Happy,user_636,3
"Dil Taan Pagal-Je Tu Na (From ""T-Series Mixtape Punjabi"")",Akhil Sachdeva,2019-09-03,33,291503,compilation,https://i.scdn.co/image/ab67616d0000b273dc9563139ebc2a5597254664,Folk,Energetic,user_106,3
Heerey,Amrinder Gill,2016-03-07,44,204978,album,https://i.scdn.co/image/ab67616d0000b2739402b44bc7bdff9dfa8122d9,Folk,Sad,user_670,2
"Rabb Khair Kare (From ""Daana Paani"" Soundtrack)",Prabh Gill,2018-04-19,46,184000,single,https://i.scdn.co/image/ab67616d0000b2735c30005b07efd927287a1bea,Romantic,Sad,user_659,4
Ishqaa,Akhil,2019-02-13,35,321004,album,https://i.scdn.co/image/ab67616d0000b273fdf60edf667e751276524fde,Romantic,Sad,user_657,4
Pyar Paun to Pehlan,Labh Heera,2020-07-18,37,256765,album,https://i.scdn.co/image/ab67616d0000b27303a6d19fa3b5e0f47b23f29c,Romantic,Romantic,user_120,4
Best Hindi Motivational Poetry 2022,Kumar Rishi,2022-03-07,32,109898,single,https://i.scdn.co/image/ab67616d0000b27330e5ad50fda0ab24af437a77,Folk,Calm,user_831,2
"Koi Vi Nahi,Dasi Na Mere Bare,Zindagi,Choorhey wali bah",Shirley Setia,2020-02-05,33,434000,single,https://i.scdn.co/image/ab67616d0000b2738662dd7d918afbc3c9bd178d,EDM,Happy,user_787,4
Udaarian,Satinder Sartaaj,2019-12-20,31,342648,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Calm,user_604,3
Kaash,Nachhatar Gill,2019-12-20,19,213829,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Romantic,Calm,user_58,1
"Kahani (From ""Kahani"")",Lo Jill,2014-04-24,11,194595,compilation,https://i.scdn.co/image/ab67616d0000b273ce9ec0de8ce8721afa7a5a4c,Romantic,Calm,user_951,3
True Love,Rupal J,2019-12-20,11,274311,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_346,3
Mob N Love,Prem Dhillon,2022-04-17,42,202422,single,https://i.scdn.co/image/ab67616d0000b27351d1e7adbf74abce9795fff6,Folk,Calm,user_741,1
"Zubaan (From ""Manje Bistre 2"")",Ricky Khan,2019-12-20,18,266866,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,EDM,Romantic,user_474,3
Silent Love,Davy,2022-01-02,33,152307,single,https://i.scdn.co/image/ab67616d0000b273f61e9c48d60761414096d761,Romantic,Energetic,user_117,2
Chosen,Sidhu Moose Wala,2019-12-20,26,264019,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Sad,user_830,1
Silent Love,Namr Gill,2015-03-17,44,266370,single,https://i.scdn.co/image/ab67616d0000b273ef3a03b0fdf24c33d5ca7983,EDM,Happy,user_791,3
Ikk Munda 2 - Waiting For Love,Sheera Jasvir,2021-07-04,39,247884,single,https://i.scdn.co/image/ab67616d0000b2730c3255e6ffbb2a1cfab7dcb3,Romantic,Energetic,user_127,5
I Need Love,Harman Hundal,2022-03-04,38,179052,single,https://i.scdn.co/image/ab67616d0000b273242ec8ebd257cc51f53c4ee8,Folk,Energetic,user_393,3
Love,Garry Sandhu,2017-11-21,22,225241,single,https://i.scdn.co/image/ab67616d0000b273de48ccb0c5c22b8b914bb7ce,Romantic,Energetic,user_908,2
Darling,Sucha Yaar,2021-11-19,45,139836,single,https://i.scdn.co/image/ab67616d0000b27375a0dff177d596ac666fc1e2,Romantic,Calm,user_641,4
Jattiye Ni,Jordan Sandhu,2019-12-20,23,181812,compilation,https://i.scdn.co/image/ab67616d0000b273ae86cf278f97a3e3352bab12,Folk,Calm,user_58,3
Breakup Mashup,Ammy Virk,2019-08-01,40,239880,single,https://i.scdn.co/image/ab67616d0000b27363885514c5d8d2e2634549b7,Folk,Sad,user_634,4
Romantic Love Mashup (Best of love music),Abhishek Rawal,2022-08-07,39,289123,single,https://i.scdn.co/image/ab67616d0000b273357e00856edd412a59fe734f,Folk,Calm,user_513,5
Romantic Rewind,Akhil,2022-02-09,38,1084056,single,https://i.scdn.co/image/ab67616d0000b273aa442efd8bb9b3b9521d0549,Romantic,Calm,user_751,3
Romantic Mashup,Miss Pooja,2020-02-13,38,251280,single,https://i.scdn.co/image/ab67616d0000b273bba7f019bc7fd87904517e2e,Romantic,Calm,user_802,1
Pehla Valentine,Himmat Sandhu,2021-04-30,42,173048,single,https://i.scdn.co/image/ab67616d0000b27360a2c699fae9a68b80c189f1,EDM,Sad,user_96,4
Valentine Mashup 2022,Akhil,2022-02-14,35,249618,single,https://i.scdn.co/image/ab67616d0000b273b067547333e57bd30cdb5736,Romantic,Sad,user_638,5
Feelingaa,Kay Vee Singh,2019-12-23,36,171007,single,https://i.scdn.co/image/ab67616d0000b2736e1ab5f8852848ad2b90db6e,Folk,Romantic,user_118,1
Soulmate,Akull,2021-09-07,37,184681,single,https://i.scdn.co/image/ab67616d0000b273a71b5aafbfc9fb2d2ed9241a,Romantic,Romantic,user_560,1
Love Like Me,Jassa Dhillon,2021-03-22,52,160000,album,https://i.scdn.co/image/ab67616d0000b27362857f70b2c7244833dff65f,EDM,Romantic,user_601,1
"Pyar Karda - From ""Lover""",Jass Manak,2022-05-26,39,211224,single,https://i.scdn.co/image/ab67616d0000b273c31a9ef87338c639a6444551,EDM,Romantic,user_488,1
Daring Love,Varinder Brar,2019-11-01,41,242857,single,https://i.scdn.co/image/ab67616d0000b273e305d898ae14ec999434cb4e,Folk,Energetic,user_237,3
Intense Love,Jack Love,2022-09-14,36,133053,single,https://i.scdn.co/image/ab67616d0000b273c4ca87612c74d9fd45fd5aee,Folk,Energetic,user_885,3
Valentine Mashup 2020,B Praak,2020-02-11,27,185800,single,https://i.scdn.co/image/ab67616d0000b273981632dd129a2ae0a1cfe8a4,EDM,Romantic,user_897,3
"Marke - From ""Lover""",Jass Manak,2022-06-27,36,166833,single,https://i.scdn.co/image/ab67616d0000b273914b03f4b65228bb80d6f980,EDM,Romantic,user_272,5
Intense Love,Chandra Brar,2022-02-01,33,164651,single,https://i.scdn.co/image/ab67616d0000b2731a4d6d007730d4620e3b16e3,EDM,Happy,user_189,5
Love Mix Remix Mashup,Prabh Gill,2022-04-09,25,285094,single,https://i.scdn.co/image/ab67616d0000b273db403ca729ff11cff27db840,Folk,Energetic,user_999,5
The Ultimate Love Mashup - DJ Kiran Kamath,Jaani,2022-02-08,32,307573,single,https://i.scdn.co/image/ab67616d0000b273d01d9e4587fb7038eceffca1,EDM,Happy,user_704,2
Bewafai Kar Gaya,B Praak,2022-03-25,39,228000,single,https://i.scdn.co/image/ab67616d0000b2730df4bf833ce0015716a81722,EDM,Happy,user_447,5
Bewafaai,B Praak,2019-10-22,29,322285,album,https://i.scdn.co/image/ab67616d0000b273f82faacdbdc9a8d269aec55c,Folk,Calm,user_581,3
Chaal,Lovie Virk,2021-01-06,47,210658,single,https://i.scdn.co/image/ab67616d0000b27314e14a6503fc604ae8c67ddd,Romantic,Sad,user_790,3
Love Forever,Lakhi Ghuman,2021-11-24,37,183079,single,https://i.scdn.co/image/ab67616d0000b273778bcaa30b3668cc50892016,Romantic,Energetic,user_861,2
Proposal,Mehtab Virk,2013-06-20,42,273407,album,https://i.scdn.co/image/ab67616d0000b273fc41f00a5aa81b288e15a99e,EDM,Romantic,user_247,2
Fuck Love,Real Boss,2022-03-15,40,162905,single,https://i.scdn.co/image/ab67616d0000b27366b43c623661b09087895ea4,Romantic,Romantic,user_963,5
"She Don’T Know-Akh Lad Jaave (From ""T-Series Mixtape Punjabi Season 2"")",Dhvani Bhanushali,2019-11-28,33,215360,single,https://i.scdn.co/image/ab67616d0000b273c15e263457dcfac5d896f356,Romantic,Sad,user_76,4
Paagla,Akhil,2021-06-26,46,223783,single,https://i.scdn.co/image/ab67616d0000b273ea87a23a8b8c939acceb5a35,Romantic,Energetic,user_154,2
Punjab Bolda,Ranjit Bawa,2020-12-08,35,307788,single,https://i.scdn.co/image/ab67616d0000b2731bdf59d464c4243a81a22414,Romantic,Romantic,user_656,1
